2024-01-22 16:01:58,266 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BC062D9280>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/06766ef7a806de74d0244194db57ce64/element/A5EAFEEC7F4A1FA43CD9555B76489650_element_138/elements
2024-01-22 16:02:02,344 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BC062DAD20>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/06766ef7a806de74d0244194db57ce64/element/A5EAFEEC7F4A1FA43CD9555B76489650_element_138/elements
2024-01-22 16:02:06,445 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002BC06507E60>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/06766ef7a806de74d0244194db57ce64/element/A5EAFEEC7F4A1FA43CD9555B76489650_element_138/elements
2024-01-22 16:02:16,344 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BDFBD275F0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/a620d2c234568b35fcc467d99456cff7/element/679E0A36C0F4CAB78B8D79C2627BB62E_element_137/elements
2024-01-22 16:02:20,408 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BDFC3960F0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/a620d2c234568b35fcc467d99456cff7/element/679E0A36C0F4CAB78B8D79C2627BB62E_element_137/elements
2024-01-22 16:02:24,471 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BDFBCCD250>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/a620d2c234568b35fcc467d99456cff7/element/679E0A36C0F4CAB78B8D79C2627BB62E_element_137/elements
2024-01-22 16:05:37,890 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028744BA7B30>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/b1f50e9ef4772581303ab31fece3133c/element/7DBABA09DF369CBD58592682B4EE6FC2_element_137/elements
2024-01-22 16:05:41,960 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000287448288F0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/b1f50e9ef4772581303ab31fece3133c/element/7DBABA09DF369CBD58592682B4EE6FC2_element_137/elements
2024-01-22 16:05:45,991 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028744BA7EC0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/b1f50e9ef4772581303ab31fece3133c/element/7DBABA09DF369CBD58592682B4EE6FC2_element_137/elements
2024-01-22 16:06:14,696 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014DCA34EB40>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/8653bfab32e0029a8a1f712eaaa1b1d1/element/1EE7ADBB9111DCC0D53CD8C4A827E521_element_137/elements
2024-01-22 16:06:18,765 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014DC9EDB920>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/8653bfab32e0029a8a1f712eaaa1b1d1/element/1EE7ADBB9111DCC0D53CD8C4A827E521_element_137/elements
2024-01-22 16:06:22,811 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000014DCA34EE40>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/8653bfab32e0029a8a1f712eaaa1b1d1/element/1EE7ADBB9111DCC0D53CD8C4A827E521_element_137/elements
2024-01-22 16:06:52,901 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E0505EA2D0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/a66c5de16e27b4084f80e67512060379/execute/sync
2024-01-22 16:06:56,966 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E0506161E0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/a66c5de16e27b4084f80e67512060379/execute/sync
2024-01-22 16:07:01,032 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E05060DAF0>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/a66c5de16e27b4084f80e67512060379/execute/sync
2024-01-23 17:54:33,312 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002793016F200>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/2d114fc4751ee4f5bd437c27eb2127d6/window/handles
2024-01-23 17:54:37,421 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002793050DE20>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/2d114fc4751ee4f5bd437c27eb2127d6/window/handles
2024-01-23 17:54:41,487 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000279305D3440>: Failed to establish a new connection: [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión')': /session/2d114fc4751ee4f5bd437c27eb2127d6/window/handles
